PMCID	PMID	Title	Journal	Publication_Date	Image_Number
PMC7467897	32952822	Aspects cliniques th&#x000e9;rapeutiques et pronostiques des tumeurs germinales malignes de l&#x02019;ovaire: exp&#x000e9;rience tunisienne de 21 ans	The Pan African Medical Journal	2020-07-13	29
PMC8397934	34444769	Curcumin, an Inhibitor of p300-HAT Activity, Suppresses the Development of Hypertension-Induced Left Ventricular Hypertrophy with Preserved Ejection Fraction in Dahl Rats	Nutrients	2021-07-29	30
PMC6473526	30960452	Hexagonal and Square Patterned Silver Nanowires/PEDOT:PSS Composite Grids by Screen Printing for Uniformly Transparent Heaters	Polymers	2019-03-12	31
PMC5592010	28932243	Sensitive Wavelengths Selection in Identification of Based on Near-Infrared Hyperspectral Imaging Technology	International Journal of Analytical Chemistry	2017-08-27	32
PMC4440450	25500265	Tuberculosis among migrant populations in the European Union and the European Economic Area	The European Journal of Public Health	2015-06-14	33
PMC6174231	30327598	Jigsaw Puzzling Taps Multiple Cognitive Abilities and Is a Potential Protective Factor for Cognitive Aging	Frontiers in Aging Neuroscience	2018-10-01	34
PMC3560539	23396380	Vestibular Rehabilitation Outcomes in the Elderly with Chronic Vestibular Dysfunction	Iranian Red Crescent Medical Journal	2012-11-15	35
PMC7139822	32150806	Flumazenil-Insensitive Benzodiazepine Effects in Recombinant &#x003b1;&#x003b2; and Neuronal GABA Receptors	Brain Sciences	2020-03-05	36
PMC6222684	30096766	Stability Study and Identification of Degradation Products of Caffeoylgluconic Acid Derivatives from Fructus Euodiae	Molecules : A Journal of Synthetic Chemistry and Natural Product Chemistry	2018-08-08	37
PMC5980338	29876085	Resistance of a terrestrial plant community to local microhabitat changes	Ecology and Evolution	2018-04-24	38
PMC6430100	30918763	Increased risk of thyroid disease in patients with Sjogren's syndrome: a systematic review and meta-analysis	PeerJ	2019-03-19	39
PMC7582993	33027895	Parental SIRT1 Overexpression Attenuate Metabolic Disorders Due to Maternal High-Fat Feeding	International Journal of Molecular Sciences	2020-10-05	40
PMC7827057	33430043	Scaling up Studies on PEMFC Using a Modified Serpentine Flow Field Incorporating Porous Sponge Inserts to Observe Water Molecules	Molecules	2021-01-08	41
PMC8960616	34152575	BMI and dissatisfaction with life: contextual factors and socioemotional costs of obesity	Quality of Life Research	2022-06-21	42
PMC8164757	34051726	Epidemiology and outcomes from severe hypoglycemia in Kuwait: a prospective cohort study	BMC Emergency Medicine	2021-05-29	43
PMC9655455	36359766	Osteoprotegerin (OPG) Upregulation Activates Breast Stromal Fibroblasts and Enhances Their Pro-Carcinogenic Effects through the STAT3/IL-6 Signaling	Cells	2022-10-25	44
PMC8827098	35136126	Synthesis of two novel bio-based hydrogels using sodium alginate and chitosan and their proficiency in physical immobilization of enzymes	Scientific Reports	2022-02-08	45
PMC9308263	35869435	Genome-wide characterization of Typhimurium genes required for the fitness under iron restriction	BMC Genomic Data	2022-07-22	46
PMC7482006	32952551	Association between Chronic Urticaria and  Infection among Patients Attending a Tertiary Hospital in Tanzania	Dermatology Research and Practice	2020-09-01	47
PMC9222330	35742207	Path Analysis Reveals the Direct Effect of PCB28 Exposure on Cognitive Dysfunction in Older Chinese Females	International Journal of Environmental Research and Public Health	2022-06-07	48
PMC4498789	26161647	Wild Type Homozygozity of Polymorphisms +896 and +1196 Is Associated with High Gastrin Serum Levels and Peptic Ulcer Risk	PLoS ONE	2015-07-10	49
PMC9653864	36366052	Analysis of Gyro Bias Depending on the Position of Inertial Measurement Unit in Rotational Inertial Navigation Systems	Sensors (Basel, Switzerland)	2022-10-31	50
PMC7938781	33717697	Comparative analysis of complete plastid genomes from -specific primers	PeerJ	2021-03-05	51
PMC9569559	36232507	A New Chemotactic Mechanism Governs Long-Range Angiogenesis Induced by Patching an Arterial Graft into a Vein	International Journal of Molecular Sciences	2022-09-23	52
PMC4246201	25390157	Involvement of the Antioxidant Effect and Anti-inflammatory Response in Butyrate-Inhibited Vascular Smooth Muscle Cell Proliferation	Pharmaceuticals	2014-11-10	53
PMC6310713	29380156	Dairy product intake and bone properties in 70-year-old men and women	Archives of Osteoporosis	2018-01-29	54
PMC8308159	34361142	Evaluation and Optimization of Poly--Lysine as a Non-Natural Cationic Polypeptide for Gene Transfer in Neuroblastoma Cells	Nanomaterials	2021-07-05	55
PMC4141722	25148478	A Nonlinear Cable Framework for Bidirectional Synaptic Plasticity	PLoS ONE	2014-08-22	56
PMC4161873	25174278	Comparing two approaches for estimating the causal effect of behaviour-change communication messages promoting insecticide-treated bed nets: an analysis of the 2010 Zambia malaria indicator survey	Malaria Journal	2014-08-30	57
PMC9053776	35486572	Validation pipeline for machine learning algorithm assessment for multiple vendors	PLoS ONE	2022-04-29	58
PMC9137157	35624445	Mindfulness, empathy and moral sensitivity in nurses: a structural equation modeling analysis	BMC Nursing	2022-05-27	59
PMC3626240	23662137	Long-Term Stimulation with Electroacupuncture at DU20 and ST36 Rescues Hippocampal Neuron through Attenuating Cerebral Blood Flow in Spontaneously Hypertensive Rats	Evidence-based Complementary and Alternative Medicine : eCAM	2013-03-31	60
PMC4434894	25984712	Altered white matter integrity in individuals with cognitive vulnerability to depression: a tract-based spatial statistics study	Scientific Reports	2015-05-18	61
PMC10291571	37366469	Receptor&#x02010;targeting nanomaterials alleviate binge drinking&#x02010;induced neurodegeneration as artificial neurotrophins	Exploration	2021-09-01	62
PMC6923916	31856825	Finding prognostic gene pairs for cancer from patient-specific gene networks	BMC Medical Genomics	2019-12-20	63
PMC8423378	34498015	Ethnic density, social support, and loneliness among Chinese immigrants in Philadelphia	Wellbeing, space and society	2021-07-29	64
PMC5755295	29304815	Association between KIF6 rs20455 polymorphism and the risk of coronary heart disease (CHD): a pooled analysis of 50 individual studies including 40,059 cases and 64,032 controls	Lipids in Health and Disease	2018-01-05	65
PMC4094444	24969046	Association between the  codon 72 polymorphism and risk of oral squamous cell carcinoma in Asians: a meta-analysis	BMC Cancer	2014-06-26	66
PMC8393867	34444439	Fate of Benzophenone, Benzophenone-3 and Caffeine in Lab-Scale Direct River Water Treatment by Hybrid Processes	International Journal of Environmental Research and Public Health	2021-08-17	67
PMC4570793	26372641	Transplantation of Alginate Bioencapsulated Adipose Tissues Derived Stem Cells (ADSCs) via Hepatic Injection in a Mouse Model	PLoS ONE	2015-09-15	68
PMC8055595	33761201	Metaciclog&#x000e9;nesis de  (Reduviidae: Triatominae) y capacidad infectiva de las heces en condiciones de laboratorio	Biom&#x000e9;dica	2020-10-16	69
PMC8066303	33806202	Endurance Training Regulates Expression of Some Angiogenesis-Related Genes in Cardiac Tissue of Experimentally Induced Diabetic Rats	Biomolecules	2021-03-25	70
PMC7733576	33335609	The Japanese Catheter Ablation Registry (J&#x02010;AB): A prospective nationwide multicenter registry in Japan. Annual report in 2018	Journal of Arrhythmia	2020-10-16	71
PMC5661104	28470949	Loss of SH3GL2 promotes the migration and invasion behaviours of glioblastoma cells through activating the STAT3/MMP2 signalling	Journal of Cellular and Molecular Medicine	2017-11-04	72
PMC8207434	34141205	Identifying &#x0201c;vital attributes&#x0201d; for assessing disturbance&#x02013;recovery potential of seafloor communities	Ecology and Evolution	2021-05-04	73
PMC7192063	32391047	Weighted Gene Coexpression Network Analysis of Features That Control Cancer Stem Cells Reveals Prognostic Biomarkers in Lung Adenocarcinoma	Frontiers in Genetics	2020-04-22	74
PMC8392213	34439176	Evidence for the Need to Evaluate More Than One Source of Extracellular Vesicles, Rather Than Single or Pooled Samples Only, When Comparing Extracellular Vesicles Separation Methods	Cancers	2021-08-10	75
PMC8432075	34501386	Comparative Long-Term Renal Allograft Outcomes of Recurrent Immunoglobulin A with Severe Activity in Kidney Transplant Recipients with and without Rituximab: An Observational Cohort Study	Journal of Clinical Medicine	2021-08-31	76
PMC4680983	26670709	Are Immune Modulating Single Nucleotide Polymorphisms Associated with Necrotizing Enterocolitis&#x0003f;	Scientific Reports	2015-12-16	77
PMC4592229	26431547	Response to Selenium Stimuli	PLoS ONE	2015-10-02	78
PMC4150806	25104019	Regulation of transcription termination by glucosylated hydroxymethyluracil, base J, in	Nucleic Acids Research	2014-09-02	79
PMC9268794	35808332	DetectFormer: Category-Assisted Transformer for Traffic Scene Object Detection	Sensors (Basel, Switzerland)	2022-06-26	80
PMC8194026	34112266	One repeated transplantation of allogeneic umbilical cord mesenchymal stromal cells in type 1 diabetes: an open parallel controlled clinical study	Stem Cell Research &#x00026; Therapy	2021-06-10	81
PMC5457215	28773996	Surface Texturing-Plasma Nitriding Duplex Treatment for Improving Tribological Performance of AISI 316 Stainless Steel	Materials	2016-10-27	82
PMC4213222	25070208	Relationship Between Physical Activity and Chronic Musculoskeletal Pain Among Community-Dwelling Japanese Adults	Journal of Epidemiology	2014-11-05	83
PMC7547700	33037237	Monolithic focus-tunable lens technology enabled by disk-type dielectric-elastomer actuators	Scientific Reports	2020-10-09	84
PMC6266376	30613798	Horizon scanning implanted biosensors in personalising breast cancer management:  pilot study of breast cancer patients views	Health Science Reports	2018-03-15	85
PMC6288086	30478407	Early immune modulation by single-agent trastuzumab as a marker of trastuzumab benefit	British Journal of Cancer	2018-12-11	86
PMC6794987	31615420	Robust structure measures of metabolic networks that predict prokaryotic optimal growth temperature	BMC Bioinformatics	2019-10-15	87
PMC3385657	22761618	Oxidative Stress, DNA Damage, and c-Abl Signaling: At the Crossroad in Neurodegenerative Diseases?	International Journal of Cell Biology	2012-06-18	88
PMC5834444	29500442	Radiomics Features Differentiate Between Normal and Tumoral High-Fdg Uptake	Scientific Reports	2018-03-02	89
PMC6366758	30730999	Structure basis of neutralization by a novel site II/IV antibody against respiratory syncytial virus fusion protein	PLoS ONE	2019-02-07	90
PMC8944998	35327482	Biomarkers Analysis and Clinical Manifestations in Comorbid Creutzfeldt&#x02013;Jakob Disease: A Retrospective Study in 215 Autopsy Cases	Biomedicines	2022-03-16	91
PMC9606872	36298004	Immobilization of Active Antibodies at Polymer Melt Surfaces during Injection Molding	Polymers	2022-10-20	92
PMC9330696	35897776	Antitumor Effects of Ral-GTPases Downregulation in Glioblastoma	International Journal of Molecular Sciences	2022-07-25	93
PMC3602115	23527148	A Computational Model for Collective Cellular Motion in Three Dimensions: General Framework and Case Study for Cell Pair Dynamics	PLoS ONE	2013-03-19	94
PMC6421298	30915016	Application of the Pipeline Embolization Device for Giant Vertebrobasilar Dissecting Aneurysms in Pediatric Patients	Frontiers in Neurology	2019-03-11	95
PMC5441540	28560264	Thought disorder measured as random speech structure classifies negative symptoms and schizophrenia diagnosis 6 months in advance	NPJ Schizophrenia	2017-04-13	96
PMC5155389	27964716	Incidence of medically attended influenza among residents of Shai-Osudoku and Ningo-Prampram Districts, Ghana, May 2013 &#x02013; April 2015	BMC Infectious Diseases	2016-12-13	97
PMC3618370	23303559	Differential regulation of HIF-mediated pathways increases mitochondrial metabolism and ATP production in hypoxic osteoclasts	The Journal of Pathology	2013-04-13	98
PMC8774182	35053401	Microfluidic Platforms Designed for Morphological and Photosynthetic Investigations of  on a Single-Cell Level	Cells	2022-01-14	99
PMC3877056	24391799	One Digit Interruption: The Altered Force Patterns during Functionally Cylindrical Grasping Tasks in Patients with Trigger Digits	PLoS ONE	2013-12-31	100
PMC6161348	30261923	A comparison of one-year treatment utilization for shoulder osteoarthritis patients initiating care with non-orthopaedic physicians and orthopaedic specialists	BMC Musculoskeletal Disorders	2018-09-27	101
PMC4761348	26897002	Gradient Distribution of Martensite Phase in Melt-Spun Ribbons of a Fe-Ni-Ti-Al Alloy	Nanoscale Research Letters	2016-02-20	102
PMC7913612	33546473	Lycopene Improves In Vitro Development of Porcine Embryos by Reducing Oxidative Stress and Apoptosis	Antioxidants	2021-02-03	103
PMC8589491	34777735	A Pulmonary Vascular Extraction Algorithm from Chest CT/CTA Images	Journal of Healthcare Engineering	2021-11-05	104
PMC8610979	34815379	Dopamine promotes aggression in mice via ventral tegmental area to lateral septum projections	Nature Communications	2021-11-23	105
PMC8664821	34893598	Genetic determinants of endophytism in the  root mycobiome	Nature Communications	2021-12-10	106
PMC4789279	26971202	Characterization of mesenchymal stem cells and fibrochondrocytes in three-dimensional co-culture: analysis of cell shape, matrix production, and mechanical performance	Stem Cell Research &#x00026; Therapy	2016-03-12	107
PMC4102529	25032811	FRET Based Quantification and Screening Technology Platform for the Interactions of Leukocyte Function-Associated Antigen-1 (LFA-1) with InterCellular Adhesion Molecule-1 (ICAM-1)	PLoS ONE	2014-07-17	108
PMC5087530	27775628	Chocolate Classification by an Electronic Nose with Pressure Controlled Generated Stimulation	Sensors (Basel, Switzerland)	2016-10-20	109
PMC7260344	32528317	Feasibility of Estimation of Aortic Wave Intensity Using Non-invasive Pressure Recordings in the Absence of Flow Velocity in Man	Frontiers in Physiology	2020-05-25	110
PMC8855721	35186473	From hair to liver: emerging application of hair follicle mesenchymal stem cell transplantation reverses liver cirrhosis by blocking the TGF-&#x003b2;/Smad signaling pathway to inhibit pathological HSC activation	PeerJ	2022-02-15	111
PMC5653366	29059211	Screening differential miRNAs responsible for permeability increase in HUVECs infected with influenza A virus	PLoS ONE	2017-10-23	112
PMC4882655	27164129	Amelioration of Hyperglycaemia, Oxidative Stress and Dyslipidaemia in Alloxan-Induced Diabetic Wistar Rats Treated with Probiotic and Vitamin C	Nutrients	2016-05-05	113
PMC9570817	36235544	The Positive Association of Plasma Levels of Vitamin C and Inverse Association of VCAM-1 and Total Adiponectin with Bone Mineral Density in Subjects with Diabetes	Nutrients	2022-09-20	114
PMC5937037	29730992	A new TAO kinase inhibitor reduces tau phosphorylation at sites associated with neurodegeneration in human tauopathies	Acta Neuropathologica Communications	2018-05-07	115
PMC9117039	35601050	A Smart Chatbot for Interactive Management in Beta Thalassemia Patients	International Journal of Telemedicine and Applications	2022-05-11	116
PMC7430827	32787779	Population analysis of the Korean native duck using whole-genome sequencing data	BMC Genomics	2020-08-12	117
PMC5500781	28642215	What Motivates Young Adults to Talk About Physical Activity on Social Network Sites?	Journal of Medical Internet Research	2017-06-22	118
PMC7949133	33539920	Cross-seeding of alpha-synuclein aggregation by amyloid fibrils of food proteins	The Journal of Biological Chemistry	2021-02-02	119
PMC7353071	32486008	Omega-3 Polyunsaturated Fatty Acids Inhibit the Function of Human URAT1, a Renal Urate Re-absorber	Nutrients	2020-05-29	120
PMC7614249	34229092	Reducing bias in trials due to reactions to measurement: experts produced recommendations informed by evidence	Journal of clinical epidemiology	2021-11-01	121
PMC8194103	34112194	Geographic variation and associated factors of long-acting contraceptive use among reproductive-age women in Ethiopia: a multi-level and spatial analysis of Ethiopian Demographic and Health Survey 2016 data	Reproductive Health	2021-06-10	122
PMC7687004	32939938	Respiratory syncytial virus infection&#x02010;induced mucus secretion by down&#x02010;regulation of miR&#x02010;34b/c&#x02010;5p expression in airway epithelial cells	Journal of Cellular and Molecular Medicine	2020-11-16	123
PMC5493289	28666001	Mammographic density and ageing: A collaborative pooled analysis of cross-sectional data from 22 countries worldwide	PLoS Medicine	2017-06-30	124
PMC4866393	27175727	Modular reorganization of the global network of gene regulatory interactions during perinatal human brain development	BMC Developmental Biology	2016-05-12	125
PMC5575128	28851882	Poliovirus intrahost evolution is required to overcome tissue-specific innate immune responses	Nature Communications	2017-08-29	126
PMC3412763	22869112	Anomalous dispersion analysis of inhibitor flexibility: a case study of the kinase inhibitor H-89	Acta Crystallographica Section F	2012-07-26	127
PMC7354597	32485802	Influence of  T3111C Interaction with Cardiovascular Risk Factors on the Progression to Alzheimer&#x02019;s Disease in Subjective Cognitive Decline and Mild Cognitive Impairment Patients	Journal of Personalized Medicine	2020-05-29	128
PMC9001237	33835187	Early biomechanical outcome in patients with acetabular fractures treated using the pararectus approach: a gait and stair climb analysis study	European Journal of Trauma and Emergency Surgery	2022-04-09	129
PMC8764355	35058905	Whole-Genome Sequencing of Extended-Spectrum Beta-Lactamase-Producing  From Human Infections in Finland Revealed Isolates Belonging to Internationally Successful ST131-C1-M27 Subclade but Distinct From Non-human Sources	Frontiers in Microbiology	2022-01-04	130
PMC8239173	34211378	Environmental Enrichment Improves Vestibular Oculomotor Learning in Mice	Frontiers in Behavioral Neuroscience	2021-06-15	131
PMC9695018	36431747	Effect of Contact Point of Wire Ring on Cooling Behavior during Stelmor Cooling	Materials	2022-11-21	132
PMC4516327	26214854	Detecting Subtle Shifts in Ecosystem Functioning in a Dynamic Estuarine Environment	PLoS ONE	2015-07-27	133
PMC5790254	29381709	Dynamic magnetic resonance imaging method based on golden-ratio cartesian sampling and compressed sensing	PLoS ONE	2018-01-30	134
PMC4745697	26311740	MiR-21 mediates sorafenib resistance of hepatocellular carcinoma cells by inhibiting autophagy via the PTEN/Akt pathway	Oncotarget	2015-07-30	135
PMC8301476	34356518	Modeling Post-Scratching Locomotion with Two Rhythm Generators and a Shared Pattern Formation	Biology	2021-07-14	136
PMC9330764	35786912	Surface Confined Hydrogenation of Graphene Nanoribbons	ACS Nano	2022-07-26	137
PMC7810717	33452449	A novel rabbit fixator made of a thermoplastic mask for awake imaging experiments	Scientific Reports	2021-01-15	138
PMC8872389	35206263	Altered Visual Reliance Induced by Stroboscopic Glasses during Postural Control	International Journal of Environmental Research and Public Health	2022-02-12	139
PMC3618353	23550117	NA	G3: Genes|Genomes|Genetics	2013-04-01	140
PMC6883553	31779696	ENACT: a protocol for a randomised placebo-controlled trial investigating the efficacy and mechanisms of action of adjunctive -acetylcysteine for first-episode psychosis	Trials	2019-11-28	141
PMC5995374	29889852	Descriptions of self-treatment for the middle-aged and elderly in Shanxi, China	PLoS ONE	2018-06-11	142
PMC3771474	24066252	The Differential Diagnosis of Two Cases of Chronic Periaortitis	Case Reports in Radiology	2013-08-28	143
PMC9405193	36009988	Microbiological and Molecular Features Associated with Persistent and Relapsing  Prosthetic Joint Infection	Antibiotics	2022-08-18	144
PMC6781408	31590656	Single-plant GWAS coupled with bulk segregant analysis allows rapid identification and corroboration of plant-height candidate SNPs	BMC Plant Biology	2019-10-08	145
PMC7792592	33374946	The Singular Molecular Conformation of Humic Acids in Solution Influences Their Ability to Enhance Root Hydraulic Conductivity and Plant Growth	Molecules	2020-12-22	146
PMC5688151	29142304	Maternal Exposure to Iodine Excess Throughout Pregnancy and Lactation Induces Hypothyroidism in Adult Male Rat Offspring	Scientific Reports	2017-11-15	147
PMC9513788	36177242	In the shadow of the dam &#x02013; Hydrology of the Little Conemaugh river and its South Fork, with insights about past and future flooding	Heliyon	2022-09-17	148
PMC5524724	28791295	Fertility Preservation in Endometriosis Patients: Anti-M&#x000fc;llerian Hormone Is a Reliable Marker of the Ovarian Follicle Density	Frontiers in Surgery	2017-07-25	149
PMC6404118	30966709	Effect of a Surfactant in Microcapsule Synthesis on Self-Healing Behavior of Capsule Embedded Polymeric Films	Polymers	2018-06-17	150
PMC8432244	34501264	An Immunogenicity Report for the Comparison between Heterologous and Homologous Prime-Boost Schedules with ChAdOx1-S and BNT162b2 Vaccines	Journal of Clinical Medicine	2021-08-25	151
PMC7375063	32403206	Classification of comorbidity in obsessive&#x02013;compulsive disorder: A latent class analysis	Brain and Behavior	2020-05-13	152
PMC6636103	31311491	Low vitamin D level was associated with metabolic syndrome and high leptin level in subjects with nonalcoholic fatty liver disease: a community-based study	BMC Gastroenterology	2019-07-16	153
PMC5153483	28018426	Combination of Five Body Positions Can Effectively Improve the Rate of Gastric Mucosa's Complete Visualization by Applying Magnetic-Guided Capsule Endoscopy	Gastroenterology Research and Practice	2016-11-29	154
PMC8971419	35361821	Black pepper and tarragon essential oils suppress the lipolytic potential and the type II secretion system of  KM02	Scientific Reports	2022-03-31	155
PMC8366585	34408986	Pharmacological Activation of Autophagy Restores Cellular Homeostasis in Ultraviolet-(B)-Induced Skin Photodamage	Frontiers in Oncology	2021-08-02	156
PMC5383480	28405282	Ecological application of biotic resistance to control the invasion of an invasive plant,	Ecology and Evolution	2017-03-02	157
PMC5722321	29220411	Hexahydrocurcumin protects against cerebral ischemia/reperfusion injury, attenuates inflammation, and improves antioxidant defenses in a rat stroke model	PLoS ONE	2017-12-08	158
PMC6855062	31781635	Quercetin and Quercitrin Attenuates the Inflammatory Response and Oxidative Stress in LPS-Induced RAW264.7 Cells: In Vitro Assessment and a Theoretical Model	BioMed Research International	2019-10-28	159
PMC7175537	32316924	A needs assessment of resuscitative endovascular balloon occlusion of the aorta (REBOA) in non-traumatic out-of-hospital cardiac arrest in Norway	BMC Emergency Medicine	2020-04-21	160
PMC4303217	25614869	Exome analysis identifies Brody myopathy in a family diagnosed with malignant hyperthermia susceptibility	Molecular Genetics &#x00026; Genomic Medicine	2014-11-06	161
PMC7412009	32630785	Arabidopsis Plastid-RNA Polymerase RPOTp Is Involved in Abiotic Stress Tolerance	Plants	2020-07-02	162
PMC4984500	27551379	Facing environmental predictability with different sources of epigenetic variation	Ecology and Evolution	2016-06-28	163
PMC4219123	24295286	MAR-mediated integration of plasmid vectors for  gene transfer and regulation	BMC Molecular Biology	2013-12-02	164
PMC8771752	35070314	Selection of risk assessment methods for osteoporosis screening in postmenopausal women with low-energy fractures: A comparison of fracture risk assessment tool, digital X-ray radiogrammetry, and dual-energy X-ray absorptiometry	SAGE Open Medicine	2022-01-15	165
PMC3669539	23734084	Explant cultures of  mouse retina: a model to investigate cone opsin trafficking	Molecular Vision	2013-05-29	166
PMC8879510	35202345	Multiplexed Genome Editing for Efficient Phenotypic Screening in Zebrafish	Veterinary Sciences	2022-02-19	167
PMC9580926	36304265	NA	Frontiers in Bioinformatics	2022-09-30	168
PMC8065426	33915682	The Influence of Diet Change and Oral Metformin on Blood Glucose Regulation and the Fecal Microbiota of Healthy Horses	Animals : an Open Access Journal from MDPI	2021-04-01	169
PMC8287173	34291033	Risk Diagrams Based on Primary Care Electronic Medical Records and Linked Real-Time PCR Data to Monitor Local COVID-19 Outbreaks During the Summer 2020: A Prospective Study Including 7,671,862 People in Catalonia	Frontiers in Public Health	2021-07-05	170
PMC3521198	23173711	serine hydroxymethyltransferase: indispensability and display of distinct localization	Malaria Journal	2012-11-22	171
PMC9718679	36344833	Chemically stable fluorescent proteins for advanced microscopy	Nature Methods	2022-11-07	172
PMC7246625	32403269	Lacrosse Athletes Load and Recovery Monitoring: Comparison between Objective and Subjective Methods	International Journal of Environmental Research and Public Health	2020-05-11	173
PMC9283477	35459925	Nicotinic receptors promote susceptibility to social stress in female mice linked with neuroadaptations within VTA dopamine neurons	Neuropsychopharmacology	2022-08-22	174
PMC6344520	30674933	Physical characteristics not psychological state or trait characteristics predict motion during resting state fMRI	Scientific Reports	2019-01-23	175
PMC4196189	25216527	X-linked inhibitor of apoptosis protein (XIAP) lacking RING domain localizes to the nuclear and promotes cancer cell anchorage-independent growth by targeting the E2F1/Cyclin E axis	Oncotarget	2014-07-17	176
PMC8077798	33902534	Effect of ligustrazine nanoparticles on Th1/Th2 balance by TLR4/MyD88/NF-&#x003ba;B pathway in rats with postoperative peritoneal adhesion	BMC Surgery	2021-04-26	177
PMC7139826	32143296	The Relation between Sustained Attention and Incidental and Intentional Object-Location Memory	Brain Sciences	2020-03-04	178
PMC3788785	24098433	Improved Production of 2,3-Butanediol in  by Over-Expression of Glyceraldehyde-3-Phosphate Dehydrogenase and 2,3-butanediol Dehydrogenase	PLoS ONE	2013-10-02	179
PMC6331615	30643149	Aminoacyl sulfonamide assembly in SB-203208 biosynthesis	Nature Communications	2019-01-14	180
