Image Names	visually detect problem colors (Shades of red, green, and orange)	Contrasts mitigate problem	Labels mitigate problem	Distance mitigates problem	Conclusion (5 types listed in drop down)	Notes 
elife-04577-fig10-v1.jpg	TRUE	N	N	Y	Definitely problematic	
elife-04577-fig13-v1.jpg	FALSE				Definitely okay	
elife-04581-fig1-v2.jpg	TRUE	N	N	N	Definitely problematic	
elife-04585-fig3-v2.jpg	FALSE				Definitely okay	
elife-04585-fig4-v2.jpg	FALSE				Definitely okay	
elife-04660-fig11-v2.jpg	FALSE				Gray-scale	
elife-04692-fig3-v2.jpg	TRUE	Y	N	Y	Definitely okay	
elife-04693-fig5-v1.jpg	FALSE				Definitely okay	
elife-04811-fig8-v1.jpg	TRUE	Y	N	N	Definitely okay	
elife-04889-fig2-v2.jpg	FALSE				Definitely okay	
elife-05118-fig5-v2.jpg	TRUE	N	N	N	Definitely problematic	
elife-05241-fig5-v1.jpg	FALSE				Definitely okay	
elife-05255-fig7-v1.jpg	TRUE	Y	N	N	Probably okay	There is some red next to green in sub-figure A, but not sure whether it's important because you can't see it in the original image.
elife-05421-fig13-v2.jpg	TRUE	Y	N	Y	Definitely okay	
elife-05464-fig7-v2.jpg	FALSE				Definitely okay	
elife-05557-fig2-v1.jpg	FALSE				Gray-scale	
elife-05565-fig4-v1.jpg	TRUE	Y	N	N	Definitely okay	
elife-05651-fig2-v2.jpg	TRUE	N	Y	N	Probably okay	There are some parts where the greens look a bit too similar.
elife-05682-fig3-v1.jpg	FALSE				Gray-scale	
elife-05842-fig2-v2.jpg	FALSE				Definitely okay	
elife-05979-fig1-v2.jpg	TRUE	Y	Y	Y	Definitely okay	
elife-05996-fig2-v1.jpg	TRUE	NA		Y	Definitely okay	
elife-06056-fig4-v2.jpg	TRUE	N	N	N	Definitely problematic	All panels
elife-06120-fig5-v2.jpg	FALSE				Definitely okay	
elife-06197-fig1-v1.jpg	TRUE	N	N	N	Probably problematic	Sub-figure A, red label is hard to distinguish.
elife-06213-fig1-v3.jpg	TRUE	N	N	N	Probably problematic	Sub-figure D heatmap reds too similar.
elife-06262-fig1-v2.jpg	TRUE	Y	N	N	Probably okay	Sub-fiugre D red and green may be too similar
elife-06585-fig3-v1.jpg	TRUE	Y	N	N	Definitely okay	
elife-06734-fig6-v2.jpg	TRUE	Y	Y	Y	Definitely okay	
elife-06763-fig6-v1.jpg	FALSE				Gray-scale	
elife-06828-fig4-v2.jpg	TRUE	Y	N	Y	Definitely okay	
elife-06953-fig7-v2.jpg	TRUE	N	N	N	Definitely problematic	
elife-06996-fig6-v2.jpg	TRUE	N	N	N	Definitely problematic	Panel G
elife-07051-fig12-v2.jpg	TRUE	Y	N	N	Definitely okay	
elife-07051-fig4-v2.jpg	TRUE	NA	NA	Y	Definitely okay	
elife-07116-fig9-v1.jpg	FALSE				Definitely okay	
elife-07296-fig8-v1.jpg	TRUE	Y	N	Y	Definitely okay	
elife-07314-fig17-v2.jpg	FALSE				Gray-scale	
elife-07398-fig2-v2.jpg	TRUE	N	N	N	Definitely problematic	Pink in tissue disappears into gray
elife-07433-fig5-v2.jpg	TRUE	Y	Y	N	Probably okay	Background of protein may have hard to distinguish colors
elife-07596-fig5-v3.jpg	TRUE	N	Y	Y	Probably okay	Panel B red may be too similar to black
elife-07643-fig3-v1.jpg	TRUE	NA	NA	Y	Definitely okay	
elife-07646-fig1-v2.jpg	TRUE	Y	N	N	Definitely okay	
elife-07780-fig3-v2.jpg	TRUE	N	N	N	Definitely problematic	
elife-07865-fig3-v1.jpg	TRUE	Y	N	N	Definitely okay	Panel C lines don't have sufficient labels.
elife-08005-fig7-v1.jpg	TRUE	Y	Y	Y	Definitely okay	
elife-08022-fig3-v1.jpg	TRUE	N	N	N	Definitely problematic	
elife-08145-fig7-v3.jpg	TRUE	Y	N	N	Probably okay	Panel D the red lines may be obscured
elife-08378-fig6-v2.jpg	FALSE				Definitely okay	
elife-08649-fig7-v2.jpg	TRUE	N	N	N	Definitely problematic	
elife-08760-fig4-v2.jpg	TRUE	NA	NA	Y	Definitely okay	
elife-08848-fig3-v2.jpg	FALSE				Definitely okay	
elife-08904-fig2-v2.jpg	TRUE	Y	Y	Y	Definitely okay	
elife-08904-fig9-v2.jpg	TRUE	Y	Y	Y	Definitely okay	
elife-08941-fig1-v2.jpg	TRUE	Y	Y	Y	Definitely okay	
elife-08996-fig1-v2.jpg	TRUE	Y	N	N	Probably okay	See Panel E, pink and green
elife-08996-fig4-v2.jpg	TRUE	Y	N	Y	Definitely okay	
elife-09008-fig7-v2.jpg	FALSE				Gray-scale	
elife-09066-fig5-v3.jpg	TRUE	Y	N	N	Definitely okay	
elife-09083-fig6-v2.jpg	TRUE	N	Y	N	Probably problematic	Heatmap figure A
elife-09214-fig7-v2.jpg	TRUE	Y	N	Y	Definitely okay	
elife-09248-fig8-v2.jpg	TRUE	Y	N	N	Definitely okay	
elife-09268-fig1-v2.jpg	TRUE	NA	NA	Y	Definitely okay	
elife-09269-fig1-v1.jpg	TRUE	Y	Y	N	Definitely okay	
elife-09541-fig5-v1.jpg	TRUE	Y	Y	Y	Definitely okay	
elife-09560-fig2-v1.jpg	FALSE				Definitely okay	
elife-09646-fig3-v2.jpg	FALSE				Definitely okay	
elife-09648-fig1-v1.jpg	TRUE	N	N	N	Definitely problematic	
elife-09886-fig5-v2.jpg	FALSE				Definitely okay	
elife-09946-fig4-v3.jpg	TRUE	Y	Y	Y	Definitely okay	
elife-09972-fig2-v1.jpg	TRUE	N	N	N	Definitely problematic	Panel H, red disappears into blue.
elife-10013-fig9-v1.jpg	TRUE	Y	Y	N	Definitely okay	
elife-10110-fig5-v2.jpg	TRUE	N	NA	N	Definitely problematic	Panel A, red label disappears into background
elife-10421-fig5-v1.jpg	FALSE				Definitely okay	
elife-10501-fig4-v2.jpg	TRUE	N	N	N	Definitely problematic	
elife-10528-fig4-v1.jpg	FALSE				Definitely okay	
elife-10557-fig3-v2.jpg	TRUE	Y	N	N	Definitely okay	
elife-10616-fig7-v2.jpg	TRUE	NA	NA	Y	Definitely okay	
elife-10625-fig3-v2.jpg	TRUE	N	Y	Y	Definitely okay	
elife-10640-fig6-v1.jpg	TRUE	N	N	N	Probably problematic	Panel D, red and green may be too similar.
elife-10769-fig5-v2.jpg	FALSE				Definitely okay	
elife-10786-fig4-v1.jpg	FALSE				Gray-scale	
elife-10806-fig1-v2.jpg	FALSE				Gray-scale	
elife-10903-fig7-v3.jpg	TRUE	N	N	Y	Probably problematic	Panel F, cells may be too similar.
elife-10936-fig8-v2.jpg	FALSE				Definitely okay	
elife-10996-fig4-v1.jpg	FALSE				Definitely okay	
elife-11206-fig7-v1.jpg	FALSE				Definitely okay	
elife-11282-fig9-v2.jpg	TRUE	N	N	N	Definitely problematic	Purple and blue in panel C
elife-11288-fig5-v1.jpg	TRUE	N	N	Y	Probably problematic	Panel G, red may fade into black.
elife-11324-fig2-v2.jpg	TRUE	N	N	N	Definitely problematic	
elife-11394-fig10-v1.jpg	TRUE	Y	Y	Y	Definitely okay	
elife-11469-fig2-v2.jpg	TRUE	NA	Y	Y	Definitely okay	
elife-11903-fig3-v1.jpg	FALSE				Definitely okay	
elife-12059-fig5-v1.jpg	TRUE	N	Y	N	Definitely problematic	Panel C, green. Label isn't enough
elife-12088-fig2-v2.jpg	FALSE				Definitely okay	
elife-12115-fig1-v1.jpg	FALSE				Definitely okay	
elife-12177-fig7-v2.jpg	FALSE				Definitely okay	
elife-12248-fig5-v2.jpg	FALSE				Definitely okay	
elife-12814-fig4-v2.jpg	TRUE	Y	N	N	Definitely okay	
elife-12977-fig3-v3.jpg	TRUE	Y	Y	Y	Definitely okay	
elife-13023-fig9-v2.jpg	TRUE	N	Y	N	Probably okay	Red in panel B is so miniscule it is hard to see.
elife-13150-fig2-v2.jpg	TRUE	Y	Y	N	Definitely okay	
elife-13152-fig9-v2.jpg	TRUE	N	N	N	Definitely problematic	
elife-13222-fig6-v2.jpg	FALSE				Definitely okay	
elife-13253-fig3-v2.jpg	TRUE	N	N	N	Definitely problematic	
elife-13292-fig7-v1.jpg	TRUE	NA	NA	Y	Definitely okay	
elife-13388-fig5-v1.jpg	TRUE	Y	N	N	Definitely okay	
elife-13588-fig6-v2.jpg	TRUE	Y	Y	Y	Definitely okay	
elife-13662-fig7-v2.jpg	TRUE	N	N	N	Probably problematic	Panel B red and green may be too similar.
elife-13664-fig1-v1.jpg	FALSE				Definitely okay	
elife-13876-fig5-v1.jpg	TRUE	Y	N	N	Probably okay	Red may fade in panel B.
elife-13879-fig4-v2.jpg	TRUE	N	N	Y	Definitely problematic	Heatmap
elife-14029-fig7-v4.jpg	TRUE	Y	Y	N	Probably okay	Panel A, red label fades into green
elife-14078-fig2-v2.jpg	FALSE				Definitely okay	
elife-14087-fig9-v2.jpg	FALSE				Gray-scale	
elife-14473-fig1-v2.jpg	TRUE	Y	Y	Y	Definitely okay	
elife-14692-fig2-v4.jpg	TRUE	Y	Y	Y	Definitely okay	
elife-14694-fig5-v1.jpg	TRUE	N	N	N	Definitely problematic	
elife-14749-fig7-v2.jpg	FALSE				Gray-scale	
elife-14847-fig10-v3.jpg	TRUE	Y	Y	Y	Definitely okay	
elife-15034-fig1-v1.jpg	TRUE	N	N	N	Definitely problematic	Panel C, red fades into green.
elife-15129-fig5-v2.jpg	FALSE				Definitely okay	
elife-15159-fig6-v2.jpg	FALSE				Definitely okay	
elife-15251-fig2-v3.jpg	TRUE	N	N	N	Definitely problematic	
elife-15271-fig1-v2.jpg	TRUE	N	N	N	Definitely problematic	
elife-15461-fig7-v1.jpg	TRUE	N	Y	N	Probably okay	Labels help a lot, but could be issues with green/red.
elife-15504-fig2-v2.jpg	TRUE	Y	N	Y	Definitely okay	
elife-15537-fig6-v2.jpg	FALSE				Gray-scale	
elife-15675-fig2-v2.jpg	FALSE				Gray-scale	
elife-15744-fig3-v1.jpg	TRUE	N	N	N	Definitely problematic	
elife-15872-fig4-v3.jpg	TRUE	Y	N	N	Definitely okay	
elife-15986-fig5-v4.jpg	FALSE				Gray-scale	
elife-16070-fig6-v2.jpg	TRUE	N	Y	Y	Definitely okay	
elife-16309-fig3-v2.jpg	TRUE	N	Y	Y	Probably okay	Yellow and green may be too similar, despite the labels.
elife-16432-fig6-v2.jpg	TRUE	Y	N	N	Definitely okay	
elife-16550-fig3-v1.jpg	TRUE	Y	N	Y	Definitely okay	
elife-16578-fig1-v2.jpg	TRUE	NA	NA	Y	Definitely okay	They don't use many of the labels in the legend.
elife-16624-fig1-v1.jpg	TRUE	Y	Y	Y	Definitely okay	
elife-16654-fig7-v2.jpg	TRUE	N	N	N	Definitely problematic	
elife-16673-fig6-v3.jpg	TRUE	Y	N	N	Definitely okay	
elife-16764-fig5-v1.jpg	TRUE	N	N	N	Definitely problematic	Panels A and B, red fades
elife-16799-fig9-v2.jpg	TRUE	Y	N	N	Definitely okay	
elife-16962-fig11-v1.jpg	TRUE	N	Y	Y	Definitely okay	
elife-17171-fig6-v1.jpg	TRUE	Y	Y	Y	Definitely okay	
elife-17361-fig2-v2.jpg	FALSE				Definitely okay	
elife-17441-fig5-v1.jpg	TRUE	N	N	N	Definitely problematic	
elife-17670-fig3-v3.jpg	TRUE	Y	Y	N	Definitely okay	
elife-17820-fig6-v5.jpg	FALSE				Definitely okay	
elife-17850-fig3-v2.jpg	FALSE				Gray-scale	
elife-17879-fig2-v3.jpg	TRUE	N	Y	N	Probably okay	On heatmap (panel C), might not be enough contrast to differentiate.
elife-17985-fig3-v2.jpg	FALSE				Definitely okay	
elife-18124-fig4-v2.jpg	TRUE	N	N	N	Definitely problematic	
elife-18260-fig1-v1.jpg	FALSE				Definitely okay	
elife-18295-fig8-v5.jpg	TRUE	Y	N	N	Definitely okay	
elife-18299-fig3-v3.jpg	TRUE	Y	Y	Y	Definitely okay	
elife-18345-fig3-v2.jpg	FALSE				Definitely okay	
elife-18372-fig4-v2.jpg	TRUE	N	N	N	Definitely problematic	Panel A
elife-18413-fig4-v1.jpg	TRUE	NA	NA	Y	Definitely okay	
elife-18515-fig7-v2.jpg	TRUE	Y	N	Y	Definitely okay	
elife-18633-fig4-v4.jpg	FALSE				Definitely okay	
elife-18981-fig6-v4.jpg	FALSE				Definitely okay	
elife-18981-fig7-v4.jpg	FALSE				Definitely okay	
elife-19276-fig3-v2.jpg	TRUE	Y	N	Y	Definitely okay	
elife-19460-fig5-v1.jpg	TRUE	NA	NA	Y	Definitely okay	
elife-19466-fig5-v2.jpg	TRUE	Y	NA	Y	Definitely okay	
elife-19671-fig10-v1.jpg	FALSE				Definitely okay	
elife-19735-fig6-v2.jpg	TRUE	N	N	N	Definitely problematic	Panel A
elife-19809-fig1-v2.jpg	TRUE	Y	Y	Y	Definitely okay	
elife-19837-fig4-v1.jpg	TRUE	Y	Y	N	Definitely okay	
elife-19887-fig7-v4.jpg	FALSE				Definitely okay	
elife-19896-fig3-v1.jpg	TRUE	Y	Y	Y	Definitely okay	
elife-19944-fig2-v1.jpg	FALSE				Gray-scale	
elife-20023-fig4-v1.jpg	TRUE	Y	N	Y	Definitely okay	
elife-20143-fig3-v1.jpg	FALSE				Definitely okay	
elife-20156-fig8-v1.jpg	TRUE	N	N	N	Definitely problematic	
elife-20172-fig3-v2.jpg	TRUE	Y	N	N	Definitely okay	
elife-20522-fig6-v1.jpg	FALSE				Gray-scale	
elife-20532-fig7-v1.jpg	TRUE	N	N	N	Definitely problematic	
elife-20731-fig1-v4.jpg	FALSE				Definitely okay	
elife-20782-fig4-v2.jpg	TRUE	Y	Y	N	Definitely okay	
elife-20782-fig8-v2.jpg	FALSE				Definitely okay	
elife-20975-fig3-v2.jpg	FALSE				Definitely okay	
elife-21007-fig5-v3.jpg	TRUE	N	N	N	Probably problematic	There is red in the image, but even in the non-simulated image, it is hard to tell.
elife-21052-fig5-v2.jpg	TRUE	N	N	N	Definitely problematic	
elife-21069-fig6-v2.jpg	TRUE	N	N	N	Definitely problematic	See the merge image
elife-21303-fig3-v2.jpg	TRUE	Y	Y	N	Definitely okay	
elife-21374-fig2-v2.jpg	TRUE	N	N	N	Definitely problematic	
elife-21394-fig1-v2.jpg	TRUE	N	N	N	Definitely problematic	
elife-21540-fig7-v1.jpg	TRUE	Y	N	Y	Definitely okay	
elife-21673-fig4-v2.jpg	FALSE				Definitely okay	
elife-21989-fig3-v2.jpg	TRUE	Y	Y	Y	Definitely okay	
elife-21989-fig6-v2.jpg	TRUE	Y	Y	Y	Definitely okay	
elife-22175-fig5-v1.jpg	TRUE	Y	N	N	Definitely okay	
elife-22195-fig5-v1.jpg	TRUE	Y	N	N	Definitely okay	
elife-22431-fig2-v2.jpg	TRUE	Y	N	N	Definitely okay	
elife-22536-fig3-v1.jpg	TRUE	Y	N	N	Definitely okay	
elife-22564-fig7-v1.jpg	TRUE	Y	N	N	Probably okay	In the merged image, there is likely enough contrast, but it is hard to say for sure.
elife-22709-fig1-v2.jpg	TRUE	N	N	N	Definitely problematic	
elife-22749-fig3-v2.jpg	TRUE	Y	Y	N	Definitely okay	Heatmap
elife-23386-fig10-v2.jpg	TRUE	Y	N	N	Definitely okay	
elife-23471-fig3-v2.jpg	TRUE	Y	N	N	Definitely okay	
elife-23485-fig4-v2.jpg	FALSE				Definitely okay	
elife-23545-fig5-v1.jpg	TRUE	Y	Y	Y	Definitely okay	
elife-23743-fig3-v3.jpg	FALSE				Definitely okay	
elife-23743-fig6-v3.jpg	TRUE	Y	N	N	Probably okay	Heatmap, however the green and the yellow are hard to distinguish
elife-24063-fig3-v1.jpg	FALSE				Definitely okay	
elife-24063-fig6-v2.jpg	FALSE				Definitely okay	
elife-24109-fig1-v1.jpg	TRUE	Y	N	N	Probably okay	Figure C has a protein with a color gradient. This might be hard to read.
elife-24325-fig1-v1.jpg	FALSE				Definitely okay	
elife-24394-fig2-v2.jpg	TRUE	NA	NA	Y	Definitely okay	
elife-24419-fig2-v2.jpg	TRUE	N	N	N	Definitely problematic	
elife-24419-fig5-v1.jpg	TRUE	N	N	N	Definitely problematic	
elife-24494-fig1-v3.jpg	TRUE	Y	N	N	Definitely okay	
elife-24542-fig2-v2.jpg	TRUE	Y	Y	Y	Definitely okay	
elife-24542-fig3-v2.jpg	TRUE	NA	Y	Y	Definitely okay	
elife-24987-fig1-v1.jpg	FALSE				Definitely okay	
elife-25062-fig5-v1.jpg	FALSE				Gray-scale	
elife-25114-fig8-v2.jpg	TRUE	Y	N	N	Probably problematic	The color merge in figure D could be hard to read.
elife-25474-fig7-v2.jpg	FALSE				Gray-scale	
elife-25543-fig3-v2.jpg	TRUE	N	N	N	Definitely problematic	
elife-25642-fig5-v1.jpg	TRUE	Y	N	N	Definitely okay	
elife-25716-fig10-v2.jpg	FALSE				Gray-scale	
elife-25736-fig4-v2.jpg	TRUE	Y	N	N	Definitely okay	
elife-25742-fig5-v1.jpg	TRUE	N	N	N	Definitely problematic	
elife-25782-fig2-v2.jpg	FALSE				Definitely okay	
elife-25783-fig3-v3.jpg	FALSE				Definitely okay	
elife-25932-fig5-v2.jpg	TRUE	N	N	N	Definitely problematic	
elife-26000-fig4-v2.jpg	TRUE	Y	N	N	Definitely okay	
elife-26016-fig8-v2.jpg	TRUE	Y	Y	Y	Definitely okay	
elife-26109-fig9-v2.jpg	TRUE	Y	N	N	Probably okay	In Figures A and B, there is enough contrast zoomed in, but not from a distance.
elife-26117-fig2-v2.jpg	TRUE	Y	N	N	Definitely okay	
elife-26174-fig4-v1.jpg	TRUE	Y	Y	N	Definitely okay	
elife-26338-fig16-v2.jpg	TRUE	N	N	N	Definitely problematic	
elife-26410-fig3-v2.jpg	TRUE	Y	N	N	Definitely okay	Heatmap with no labels.
elife-26424-fig3-v2.jpg	FALSE				Definitely okay	
elife-26526-fig7-v2.jpg	FALSE				Definitely okay	
elife-26609-fig6-v1.jpg	TRUE	Y	N	N	Definitely okay	
elife-26622-fig7-v2.jpg	TRUE	N	N	N	Definitely problematic	
elife-26640-fig1-v1.jpg	TRUE	Y	N	N	Definitely okay	
elife-26653-fig3-v2.jpg	TRUE	NA	NA	Y	Definitely okay	
elife-26691-fig6-v2.jpg	TRUE	Y	N	N	Definitely okay	
elife-26713-fig8-v2.jpg	FALSE				Definitely okay	
elife-26896-fig7-v1.jpg	TRUE	NA	NA	Y	Definitely okay	
elife-26952-fig6-v2.jpg	TRUE	Y	Y	Y	Definitely okay	
elife-27014-fig5-v1.jpg	TRUE	Y	N	N	Definitely okay	
elife-27055-fig5-v3.jpg	TRUE	Y	Y	N	Definitely okay	
elife-27082-fig6-v2.jpg	TRUE	NA	NA	Y	Definitely okay	
elife-27155-fig1-v2.jpg	FALSE				Definitely okay	
elife-27155-fig7-v3.jpg	TRUE	Y	Y	Y	Definitely okay	
elife-27293-fig6-v2.jpg	TRUE	N	N	N	Definitely problematic	
elife-27356-fig1-v2.jpg	TRUE	N	N	N	Definitely problematic	There are multiple color issues
elife-27444-fig7-v4.jpg	TRUE	N	N	N	Definitely problematic	
elife-27480-fig5-v1.jpg	TRUE	N	N	N	Definitely problematic	
elife-27596-fig1-v2.jpg	FALSE				Definitely okay	
elife-27670-fig7-v3.jpg	FALSE				Definitely okay	
elife-27696-fig4-v2.jpg	TRUE	NA	NA	Y	Definitely okay	
elife-27995-fig6-v2.jpg	FALSE				Definitely okay	
elife-28030-fig1-v1.jpg	TRUE	NA	NA	Y	Definitely okay	
elife-28034-fig7-v2.jpg	TRUE	Y	Y	Y	Definitely okay	
elife-28081-fig1-v2.jpg	TRUE	N	N	N	Definitely problematic	
elife-28086-fig2-v1.jpg	FALSE				Definitely okay	
elife-28505-fig6-v2.jpg	TRUE	Y	Y	Y	Definitely okay	
elife-28629-fig1-v1.jpg	FALSE				Definitely okay	
elife-28755-fig1-v1.jpg	TRUE	Y	N	N	Definitely okay	
elife-28927-fig2-v2.jpg	FALSE				Definitely okay	
elife-28948-fig1-v2.jpg	TRUE	Y	Y	N	Definitely okay	
elife-29087-fig6-v2.jpg	FALSE				Definitely okay	
elife-29107-fig5-v2.jpg	TRUE	Y	Y	N	Definitely okay	
elife-29173-fig3-v1.jpg	TRUE	Y	N	Y	Definitely okay	
elife-29215-fig9-v1.jpg	FALSE				Definitely okay	
elife-29328-fig2-v1.jpg	TRUE	N	N	N	Definitely problematic	
elife-29507-fig2-v2.jpg	TRUE	N	Y	N	Definitely okay	While this is a classic merge image, there are labels pointing to the red every time.
elife-29630-fig2-v2.jpg	FALSE				Definitely okay	
elife-29655-fig6-v2.jpg	FALSE				Definitely okay	
elife-29795-fig6-v1.jpg	TRUE	Y	Y	N	Definitely okay	
elife-29845-fig1-v1.jpg	FALSE				Definitely okay	
elife-29893-fig1-v2.jpg	TRUE	Y	Y	N	Definitely okay	
elife-29968-fig4-v2.jpg	FALSE				Definitely okay	
elife-30056-fig2-v2.jpg	TRUE	N	Y	N	Probably okay	Heatmap that has labels, but still may be hard to distinguish between the colors
elife-30056-fig5-v2.jpg	TRUE	Y	N	N	Definitely okay	
elife-30107-fig5-v3.jpg	TRUE	Y	N	N	Probably okay	Merge images, but most likely enough contrast
elife-30198-fig4-v1.jpg	TRUE	NA	NA	Y	Definitely okay	
elife-30205-fig6-v1.jpg	FALSE				Definitely okay	
elife-30244-fig4-v2.jpg	FALSE				Definitely okay	
elife-30325-fig1-v2.jpg	TRUE	N	N	N	Definitely problematic	
elife-30352-fig3-v2.jpg	TRUE	Y	Y	N	Definitely okay	
elife-30463-fig4-v2.jpg	TRUE	Y	N	N	Probably okay	Overlaps on merge image. While the contrast likely to be enough, it may still be hard to tell apart
elife-30474-fig4-v1.jpg	FALSE				Definitely okay	
