Image_Number	PMCID	PMID	Title	Journal	Publication_Date	visually detect problem colors (Shades of red, green, and orange)	Contrasts mitigate problem	Labels mitigate problem	Distance mitigates problem	Conclusion (5 types listed in drop down)	Notes
47	PMC7482006	32952551	Association between Chronic Urticaria and Infection among Patients Attending a Tertiary Hospital in Tanzania	Dermatology Research and Practice	9/1/2020	FALSE				Gray-scale	
48	PMC9222330	35742207	Path Analysis Reveals the Direct Effect of PCB28 Exposure on Cognitive Dysfunction in Older Chinese Females	International Journal of Environmental Research and Public Health	6/7/2022	FALSE				Gray-scale	
49	PMC4498789	26161647	Wild Type Homozygozity of Polymorphisms +896 and +1196 Is Associated with High Gastrin Serum Levels and Peptic Ulcer Risk	PLoS ONE	7/10/2015	TRUE	N	N	N	Definitely problematic	Red/orange is the issue. Red fades into orange
50	PMC9653864	36366052	Analysis of Gyro Bias Depending on the Position of Inertial Measurement Unit in Rotational Inertial Navigation Systems	Sensors (Basel, Switzerland)	10/31/2022	FALSE				Definitely okay	
51	PMC7938781	33717697	Comparative analysis of complete plastid genomes from -specific primers	PeerJ	3/5/2021	TRUE	Y	N	N	Probably problematic	flower with red and green. Unknow how important
52	PMC9569559	36232507	A New Chemotactic Mechanism Governs Long-Range Angiogenesis Induced by Patching an Arterial Graft into a Vein	International Journal of Molecular Sciences	9/23/2022	FALSE				Definitely okay	
53	PMC4246201	25390157	Involvement of the Antioxidant Effect and Anti-inflammatory Response in Butyrate-Inhibited Vascular Smooth Muscle Cell Proliferation	Pharmaceuticals	11/10/2014	FALSE				Gray-scale	
54	PMC6310713	29380156	Dairy product intake and bone properties in 70-year-old men and women	Archives of Osteoporosis	1/29/2018	FALSE				Gray-scale	
55	PMC8308159	34361142	Evaluation and Optimization of Poly--Lysine as a Non-Natural Cationic Polypeptide for Gene Transfer in Neuroblastoma Cells	Nanomaterials	7/5/2021	TRUE	Y	N	Y	Definitely okay	
56	PMC4141722	25148478	A Nonlinear Cable Framework for Bidirectional Synaptic Plasticity	PLoS ONE	8/22/2014	FALSE				Definitely okay	
57	PMC4161873	25174278	Comparing two approaches for estimating the causal effect of behaviour-change communication messages promoting insecticide-treated bed nets: an analysis of the 2010 Zambia malaria indicator survey	Malaria Journal	8/30/2014	FALSE				Definitely okay	
58	PMC9053776	35486572	Validation pipeline for machine learning algorithm assessment for multiple vendors	PLoS ONE	4/29/2022	TRUE	Y	Y	Y	Definitely okay	
59	PMC9137157	35624445	Mindfulness, empathy and moral sensitivity in nurses: a structural equation modeling analysis	BMC Nursing	5/27/2022	FALSE				Gray-scale	
60	PMC3626240	23662137	Long-Term Stimulation with Electroacupuncture at DU20 and ST36 Rescues Hippocampal Neuron through Attenuating Cerebral Blood Flow in Spontaneously Hypertensive Rats	Evidence-based Complementary and Alternative Medicine : eCAM	3/31/2013	FALSE				Gray-scale	
61	PMC4434894	25984712	Altered white matter integrity in individuals with cognitive vulnerability to depression: a tract-based spatial statistics study	Scientific Reports	5/18/2015	TRUE	N	N	N	Definitely problematic	
62	PMC10291571	37366469	Receptor&#x02010;targeting nanomaterials alleviate binge drinking&#x02010;induced neurodegeneration as artificial neurotrophins	Exploration	9/1/2021	FALSE				Definitely okay	
63	PMC6923916	31856825	Finding prognostic gene pairs for cancer from patient-specific gene networks	BMC Medical Genomics	12/20/2019	FALSE				Definitely okay	
64	PMC8423378	34498015	Ethnic density, social support, and loneliness among Chinese immigrants in Philadelphia	Wellbeing, space and society	7/29/2021	FALSE				Definitely okay	
65	PMC5755295	29304815	Association between KIF6 rs20455 polymorphism and the risk of coronary heart disease (CHD): a pooled analysis of 50 individual studies including 40,059 cases and 64,032 controls	Lipids in Health and Disease	1/5/2018	FALSE				Gray-scale	
66	PMC4094444	24969046	Association between the codon 72 polymorphism and risk of oral squamous cell carcinoma in Asians: a meta-analysis	BMC Cancer	6/26/2014	FALSE				Definitely okay	
67	PMC8393867	34444439	Fate of Benzophenone, Benzophenone-3 and Caffeine in Lab-Scale Direct River Water Treatment by Hybrid Processes	International Journal of Environmental Research and Public Health	8/17/2021	FALSE				Gray-scale	
68	PMC4570793	26372641	Transplantation of Alginate Bioencapsulated Adipose Tissues Derived Stem Cells (ADSCs) via Hepatic Injection in a Mouse Model	PLoS ONE	9/15/2015	TRUE	Y	Y	Y	Definitely okay	
69	PMC8055595	33761201	Metaciclog&#x000e9;nesis de (Reduviidae: Triatominae) y capacidad infectiva de las heces en condiciones de laboratorio	Biom&#x000e9;dica	10/16/2020	FALSE				Gray-scale	
70	PMC8066303	33806202	Endurance Training Regulates Expression of Some Angiogenesis-Related Genes in Cardiac Tissue of Experimentally Induced Diabetic Rats	Biomolecules	3/25/2021	FALSE				Gray-scale	
71	PMC7733576	33335609	The Japanese Catheter Ablation Registry (J&#x02010;AB): A prospective nationwide multicenter registry in Japan. Annual report in 2018	Journal of Arrhythmia	10/16/2020	FALSE				Definitely okay	
72	PMC5661104	28470949	Loss of SH3GL2 promotes the migration and invasion behaviours of glioblastoma cells through activating the STAT3/MMP2 signalling	Journal of Cellular and Molecular Medicine	11/4/2017	FALSE				Definitely okay	
73	PMC8207434	34141205	Identifying &#x0201c;vital attributes&#x0201d; for assessing disturbance&#x02013;recovery potential of seafloor communities	Ecology and Evolution	5/4/2021	FALSE				Gray-scale	
74	PMC7192063	32391047	Weighted Gene Coexpression Network Analysis of Features That Control Cancer Stem Cells Reveals Prognostic Biomarkers in Lung Adenocarcinoma	Frontiers in Genetics	4/22/2020	TRUE	Y	Y	Y	Definitely okay	
75	PMC8392213	34439176	Evidence for the Need to Evaluate More Than One Source of Extracellular Vesicles, Rather Than Single or Pooled Samples Only, When Comparing Extracellular Vesicles Separation Methods	Cancers	8/10/2021	FALSE				Definitely okay	
76	PMC8432075	34501386	Comparative Long-Term Renal Allograft Outcomes of Recurrent Immunoglobulin A with Severe Activity in Kidney Transplant Recipients with and without Rituximab: An Observational Cohort Study	Journal of Clinical Medicine	8/31/2021	FALSE				Definitely okay	
77	PMC4680983	26670709	Are Immune Modulating Single Nucleotide Polymorphisms Associated with Necrotizing Enterocolitis&#x0003f;	Scientific Reports	12/16/2015	FALSE				Gray-scale	
78	PMC4592229	26431547	Response to Selenium Stimuli	PLoS ONE	10/2/2015	TRUE	Y	Y	Y	Definitely okay	
79	PMC4150806	25104019	Regulation of transcription termination by glucosylated hydroxymethyluracil, base J, in	Nucleic Acids Research	9/2/2014	FALSE				Gray-scale	
80	PMC9268794	35808332	DetectFormer: Category-Assisted Transformer for Traffic Scene Object Detection	Sensors (Basel, Switzerland)	6/26/2022	TRUE	Y	N	N	Definitely okay	
81	PMC8194026	34112266	One repeated transplantation of allogeneic umbilical cord mesenchymal stromal cells in type 1 diabetes: an open parallel controlled clinical study	Stem Cell Research &#x00026; Therapy	6/10/2021	FALSE				Gray-scale	
82	PMC5457215	28773996	Surface Texturing-Plasma Nitriding Duplex Treatment for Improving Tribological Performance of AISI 316 Stainless Steel	Materials	10/27/2016	FALSE				Definitely okay	
83	PMC4213222	25070208	Relationship Between Physical Activity and Chronic Musculoskeletal Pain Among Community-Dwelling Japanese Adults	Journal of Epidemiology	11/5/2014	FALSE				Definitely okay	
84	PMC7547700	33037237	Monolithic focus-tunable lens technology enabled by disk-type dielectric-elastomer actuators	Scientific Reports	10/9/2020	TRUE	N	Y	N	Probably problematic	Heat map label, but probably still hard to distinguish the colors
85	PMC6266376	30613798	Horizon scanning implanted biosensors in personalising breast cancer management: pilot study of breast cancer patients views	Health Science Reports	3/15/2018	FALSE				Definitely okay	
86	PMC6288086	30478407	Early immune modulation by single-agent trastuzumab as a marker of trastuzumab benefit	British Journal of Cancer	12/11/2018	FALSE				Gray-scale	
87	PMC6794987	31615420	Robust structure measures of metabolic networks that predict prokaryotic optimal growth temperature	BMC Bioinformatics	10/15/2019	TRUE	Y	Y	Y	Definitely okay	
88	PMC3385657	22761618	Oxidative Stress, DNA Damage, and c-Abl Signaling: At the Crossroad in Neurodegenerative Diseases?	International Journal of Cell Biology	6/18/2012	TRUE	Y	Y	Y	Definitely okay	
89	PMC5834444	29500442	Radiomics Features Differentiate Between Normal and Tumoral High-Fdg Uptake	Scientific Reports	3/2/2018	TRUE	Y	Y	Y	Definitely okay	
90	PMC6366758	30730999	Structure basis of neutralization by a novel site II/IV antibody against respiratory syncytial virus fusion protein	PLoS ONE	2/7/2019	TRUE	N	N	N	Definitely problematic	
91	PMC8944998	35327482	Biomarkers Analysis and Clinical Manifestations in Comorbid Creutzfeldt&#x02013;Jakob Disease: A Retrospective Study in 215 Autopsy Cases	Biomedicines	3/16/2022	FALSE				Definitely okay	
92	PMC9606872	36298004	Immobilization of Active Antibodies at Polymer Melt Surfaces during Injection Molding	Polymers	10/20/2022	TRUE	Y	N	Y	Definitely okay	
93	PMC9330696	35897776	Antitumor Effects of Ral-GTPases Downregulation in Glioblastoma	International Journal of Molecular Sciences	7/25/2022	FALSE				Gray-scale	
94	PMC3602115	23527148	A Computational Model for Collective Cellular Motion in Three Dimensions: General Framework and Case Study for Cell Pair Dynamics	PLoS ONE	3/19/2013	TRUE	N	N	N	Definitely problematic	RED AND ORANGE
95	PMC6421298	30915016	Application of the Pipeline Embolization Device for Giant Vertebrobasilar Dissecting Aneurysms in Pediatric Patients	Frontiers in Neurology	3/11/2019	FALSE				Gray-scale	
96	PMC5441540	28560264	Thought disorder measured as random speech structure classifies negative symptoms and schizophrenia diagnosis 6 months in advance	NPJ Schizophrenia	4/13/2017	TRUE	Y	N	Y	Definitely okay	
97	PMC5155389	27964716	Incidence of medically attended influenza among residents of Shai-Osudoku and Ningo-Prampram Districts, Ghana, May 2013 &#x02013; April 2015	BMC Infectious Diseases	12/13/2016	FALSE				Gray-scale	
98	PMC3618370	23303559	Differential regulation of HIF-mediated pathways increases mitochondrial metabolism and ATP production in hypoxic osteoclasts	The Journal of Pathology	4/13/2013	FALSE				Gray-scale	
99	PMC8774182	35053401	Microfluidic Platforms Designed for Morphological and Photosynthetic Investigations of on a Single-Cell Level	Cells	1/14/2022	FALSE				Definitely okay	
100	PMC3877056	24391799	One Digit Interruption: The Altered Force Patterns during Functionally Cylindrical Grasping Tasks in Patients with Trigger Digits	PLoS ONE	12/31/2013	FALSE				Gray-scale	
101	PMC6161348	30261923	A comparison of one-year treatment utilization for shoulder osteoarthritis patients initiating care with non-orthopaedic physicians and orthopaedic specialists	BMC Musculoskeletal Disorders	9/27/2018	FALSE				Gray-scale	
102	PMC4761348	26897002	Gradient Distribution of Martensite Phase in Melt-Spun Ribbons of a Fe-Ni-Ti-Al Alloy	Nanoscale Research Letters	2/20/2016	FALSE				Gray-scale	
103	PMC7913612	33546473	Lycopene Improves In Vitro Development of Porcine Embryos by Reducing Oxidative Stress and Apoptosis	Antioxidants	2/3/2021	TRUE	N	N	N	Definitely problematic	
104	PMC8589491	34777735	A Pulmonary Vascular Extraction Algorithm from Chest CT/CTA Images	Journal of Healthcare Engineering	11/5/2021	FALSE				Definitely okay	
105	PMC8610979	34815379	Dopamine promotes aggression in mice via ventral tegmental area to lateral septum projections	Nature Communications	11/23/2021	FALSE				Definitely okay	
106	PMC8664821	34893598	Genetic determinants of endophytism in the root mycobiome	Nature Communications	12/10/2021	TRUE	Y	N	N	Definitely okay	
107	PMC4789279	26971202	Characterization of mesenchymal stem cells and fibrochondrocytes in three-dimensional co-culture: analysis of cell shape, matrix production, and mechanical performance	Stem Cell Research &#x00026; Therapy	3/12/2016	TRUE	N	N	N	Definitely problematic	
108	PMC4102529	25032811	FRET Based Quantification and Screening Technology Platform for the Interactions of Leukocyte Function-Associated Antigen-1 (LFA-1) with InterCellular Adhesion Molecule-1 (ICAM-1)	PLoS ONE	7/17/2014	FALSE				Gray-scale	
109	PMC5087530	27775628	Chocolate Classification by an Electronic Nose with Pressure Controlled Generated Stimulation	Sensors (Basel, Switzerland)	10/20/2016	FALSE				Gray-scale	
110	PMC7260344	32528317	Feasibility of Estimation of Aortic Wave Intensity Using Non-invasive Pressure Recordings in the Absence of Flow Velocity in Man	Frontiers in Physiology	5/25/2020	FALSE				Definitely okay	
111	PMC8855721	35186473	From hair to liver: emerging application of hair follicle mesenchymal stem cell transplantation reverses liver cirrhosis by blocking the TGF-&#x003b2;/Smad signaling pathway to inhibit pathological HSC activation	PeerJ	2/15/2022	TRUE	Y	N	Y	Definitely okay	
112	PMC5653366	29059211	Screening differential miRNAs responsible for permeability increase in HUVECs infected with influenza A virus	PLoS ONE	10/23/2017	FALSE				Gray-scale	
113	PMC4882655	27164129	Amelioration of Hyperglycaemia, Oxidative Stress and Dyslipidaemia in Alloxan-Induced Diabetic Wistar Rats Treated with Probiotic and Vitamin C	Nutrients	5/5/2016	FALSE				Gray-scale	
114	PMC9570817	36235544	The Positive Association of Plasma Levels of Vitamin C and Inverse Association of VCAM-1 and Total Adiponectin with Bone Mineral Density in Subjects with Diabetes	Nutrients	9/20/2022	FALSE				Definitely okay	
115	PMC5937037	29730992	A new TAO kinase inhibitor reduces tau phosphorylation at sites associated with neurodegeneration in human tauopathies	Acta Neuropathologica Communications	5/7/2018	TRUE	N	N	N	Definitely problematic	
116	PMC9117039	35601050	A Smart Chatbot for Interactive Management in Beta Thalassemia Patients	International Journal of Telemedicine and Applications	5/11/2022	FALSE				Definitely okay	
117	PMC7430827	32787779	Population analysis of the Korean native duck using whole-genome sequencing data	BMC Genomics	8/12/2020	FALSE				Definitely okay	
118	PMC5500781	28642215	What Motivates Young Adults to Talk About Physical Activity on Social Network Sites?	Journal of Medical Internet Research	6/22/2017	FALSE				Definitely okay	
119	PMC7949133	33539920	Cross-seeding of alpha-synuclein aggregation by amyloid fibrils of food proteins	The Journal of Biological Chemistry	2/2/2021	TRUE	Y	N	N	Probably problematic	The red fades into the black in B.
120	PMC7353071	32486008	Omega-3 Polyunsaturated Fatty Acids Inhibit the Function of Human URAT1, a Renal Urate Re-absorber	Nutrients	5/29/2020	FALSE				Gray-scale	
121	PMC7614249	34229092	Reducing bias in trials due to reactions to measurement: experts produced recommendations informed by evidence	Journal of clinical epidemiology	11/1/2021	FALSE				Definitely okay	
122	PMC8194103	34112194	Geographic variation and associated factors of long-acting contraceptive use among reproductive-age women in Ethiopia: a multi-level and spatial analysis of Ethiopian Demographic and Health Survey 2016 data	Reproductive Health	6/10/2021	FALSE				Definitely okay	
123	PMC7687004	32939938	Respiratory syncytial virus infection&#x02010;induced mucus secretion by down&#x02010;regulation of miR&#x02010;34b/c&#x02010;5p expression in airway epithelial cells	Journal of Cellular and Molecular Medicine	11/16/2020	FALSE				Definitely okay	
124	PMC5493289	28666001	Mammographic density and ageing: A collaborative pooled analysis of cross-sectional data from 22 countries worldwide	PLoS Medicine	6/30/2017	TRUE	N	N	N	Definitely problematic	
125	PMC4866393	27175727	Modular reorganization of the global network of gene regulatory interactions during perinatal human brain development	BMC Developmental Biology	5/12/2016	FALSE				Definitely okay	
126	PMC5575128	28851882	Poliovirus intrahost evolution is required to overcome tissue-specific innate immune responses	Nature Communications	8/29/2017	FALSE				Definitely okay	
127	PMC3412763	22869112	Anomalous dispersion analysis of inhibitor flexibility: a case study of the kinase inhibitor H-89	Acta Crystallographica Section F	7/26/2012	FALSE				Definitely okay	
128	PMC7354597	32485802	Influence of T3111C Interaction with Cardiovascular Risk Factors on the Progression to Alzheimer&#x02019;s Disease in Subjective Cognitive Decline and Mild Cognitive Impairment Patients	Journal of Personalized Medicine	5/29/2020	FALSE				Definitely okay	
129	PMC9001237	33835187	Early biomechanical outcome in patients with acetabular fractures treated using the pararectus approach: a gait and stair climb analysis study	European Journal of Trauma and Emergency Surgery	4/9/2022	FALSE				Definitely okay	
130	PMC8764355	35058905	Whole-Genome Sequencing of Extended-Spectrum Beta-Lactamase-Producing From Human Infections in Finland Revealed Isolates Belonging to Internationally Successful ST131-C1-M27 Subclade but Distinct From Non-human Sources	Frontiers in Microbiology	1/4/2022	TRUE	Y	N	Y	Definitely okay	
131	PMC8239173	34211378	Environmental Enrichment Improves Vestibular Oculomotor Learning in Mice	Frontiers in Behavioral Neuroscience	6/15/2021	FALSE				Definitely okay	
132	PMC9695018	36431747	Effect of Contact Point of Wire Ring on Cooling Behavior during Stelmor Cooling	Materials	11/21/2022	TRUE	Y	Y	N	Definitely okay	
133	PMC4516327	26214854	Detecting Subtle Shifts in Ecosystem Functioning in a Dynamic Estuarine Environment	PLoS ONE	7/27/2015	FALSE				Definitely okay	
134	PMC5790254	29381709	Dynamic magnetic resonance imaging method based on golden-ratio cartesian sampling and compressed sensing	PLoS ONE	1/30/2018	TRUE	Y	Y	Y	Definitely okay	
135	PMC4745697	26311740	MiR-21 mediates sorafenib resistance of hepatocellular carcinoma cells by inhibiting autophagy via the PTEN/Akt pathway	Oncotarget	7/30/2015	FALSE				Gray-scale	
136	PMC8301476	34356518	Modeling Post-Scratching Locomotion with Two Rhythm Generators and a Shared Pattern Formation	Biology	7/14/2021	FALSE				Definitely okay	
137	PMC9330764	35786912	Surface Confined Hydrogenation of Graphene Nanoribbons	ACS Nano	7/26/2022	FALSE				Definitely okay	
138	PMC7810717	33452449	A novel rabbit fixator made of a thermoplastic mask for awake imaging experiments	Scientific Reports	1/15/2021	FALSE				Definitely okay	
139	PMC8872389	35206263	Altered Visual Reliance Induced by Stroboscopic Glasses during Postural Control	International Journal of Environmental Research and Public Health	2/12/2022	FALSE				Gray-scale	
140	PMC3618353	23550117	NA	G3: Genes|Genomes|Genetics	4/1/2013	FALSE				Definitely okay	
141	PMC6883553	31779696	ENACT: a protocol for a randomised placebo-controlled trial investigating the efficacy and mechanisms of action of adjunctive -acetylcysteine for first-episode psychosis	Trials	11/28/2019	FALSE				Gray-scale	
142	PMC5995374	29889852	Descriptions of self-treatment for the middle-aged and elderly in Shanxi, China	PLoS ONE	6/11/2018	FALSE				Definitely okay	
143	PMC3771474	24066252	The Differential Diagnosis of Two Cases of Chronic Periaortitis	Case Reports in Radiology	8/28/2013	FALSE				Definitely okay	
144	PMC9405193	36009988	Microbiological and Molecular Features Associated with Persistent and Relapsing Prosthetic Joint Infection	Antibiotics	8/18/2022	FALSE				Gray-scale	
145	PMC6781408	31590656	Single-plant GWAS coupled with bulk segregant analysis allows rapid identification and corroboration of plant-height candidate SNPs	BMC Plant Biology	10/8/2019	FALSE				Definitely okay	
146	PMC7792592	33374946	The Singular Molecular Conformation of Humic Acids in Solution Influences Their Ability to Enhance Root Hydraulic Conductivity and Plant Growth	Molecules	12/22/2020	TRUE	Y	N	Y	Definitely okay	
147	PMC5688151	29142304	Maternal Exposure to Iodine Excess Throughout Pregnancy and Lactation Induces Hypothyroidism in Adult Male Rat Offspring	Scientific Reports	11/15/2017	FALSE				Gray-scale	
148	PMC9513788	36177242	In the shadow of the dam &#x02013; Hydrology of the Little Conemaugh river and its South Fork, with insights about past and future flooding	Heliyon	9/17/2022	TRUE	Y	Y	N	Definitely okay	
